Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
8/20/2013,1/20/1900,August,2013,19,Youth (<25),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",8,42,54,87,336,423
8/20/2015,1/20/1900,August,2015,19,Youth (<25),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",5,42,54,55,210,265
8/21/2013,1/21/1900,August,2013,19,Youth (<25),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",22,42,54,240,924,1164
8/21/2015,1/21/1900,August,2015,19,Youth (<25),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",19,42,54,207,798,1005
9/27/2013,1/27/1900,September,2013,19,Youth (<25),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",3,42,54,33,126,159
9/27/2015,1/27/1900,September,2015,19,Youth (<25),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",2,42,54,22,84,106
3/20/2014,1/20/1900,March,2014,19,Youth (<25),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",6,42,54,66,252,318
3/20/2016,1/20/1900,March,2016,19,Youth (<25),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",6,42,54,66,252,318
3/21/2014,1/21/1900,March,2014,19,Youth (<25),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",15,42,54,164,630,794
3/21/2016,1/21/1900,March,2016,19,Youth (<25),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",13,42,54,142,546,688
5/6/2014,1/6/1900,May,2014,19,Youth (<25),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",8,42,54,87,336,423
5/6/2016,1/6/1900,May,2016,19,Youth (<25),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",5,42,54,55,210,265
6/9/2014,1/9/1900,June,2014,19,Youth (<25),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",12,42,54,131,504,635
6/9/2016,1/9/1900,June,2016,19,Youth (<25),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",12,42,54,131,504,635
11/2/2013,1/2/1900,November,2013,51,Adults (35-64),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",15,42,54,10,630,640
11/2/2015,1/2/1900,November,2015,51,Adults (35-64),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",16,42,54,11,672,683
11/24/2013,1/24/1900,November,2013,51,Adults (35-64),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",25,42,54,17,1050,1067
11/24/2015,1/24/1900,November,2015,51,Adults (35-64),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",22,42,54,15,924,939
7/1/2014,1/1/1900,July,2014,46,Adults (35-64),M,Australia,Queensland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",10,42,54,34,420,454
7/1/2016,1/1/1900,July,2016,46,Adults (35-64),M,Australia,Queensland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",10,42,54,34,420,454
8/7/2013,1/7/1900,August,2013,44,Adults (35-64),F,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",28,42,54,139,1176,1315
8/7/2015,1/7/1900,August,2015,44,Adults (35-64),F,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",29,42,54,144,1218,1362
2/6/2014,1/6/1900,February,2014,44,Adults (35-64),F,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",4,42,54,20,168,188
2/6/2016,1/6/1900,February,2016,44,Adults (35-64),F,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",2,42,54,10,84,94
5/16/2014,1/16/1900,May,2014,44,Adults (35-64),F,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",27,42,54,134,1134,1268
5/16/2016,1/16/1900,May,2016,44,Adults (35-64),F,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",27,42,54,134,1134,1268
12/6/2013,1/6/1900,December,2013,43,Adults (35-64),M,Australia,South Australia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",4,42,54,9,168,177
12/6/2015,1/6/1900,December,2015,43,Adults (35-64),M,Australia,South Australia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",3,42,54,7,126,133
8/22/2013,1/22/1900,August,2013,43,Adults (35-64),F,Australia,Queensland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",3,42,54,10,126,136
8/22/2015,1/22/1900,August,2015,43,Adults (35-64),F,Australia,Queensland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",4,42,54,13,168,181
6/3/2014,1/3/1900,June,2014,42,Adults (35-64),F,Australia,Queensland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",12,42,54,40,504,544
6/3/2016,1/3/1900,June,2016,42,Adults (35-64),F,Australia,Queensland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",11,42,54,37,462,499
11/15/2013,1/15/1900,November,2013,23,Youth (<25),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",20,42,54,229,840,1069
11/15/2015,1/15/1900,November,2015,23,Youth (<25),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",21,42,54,241,882,1123
11/24/2013,1/24/1900,November,2013,23,Youth (<25),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",17,42,54,195,714,909
11/24/2015,1/24/1900,November,2015,23,Youth (<25),F,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",16,42,54,183,672,855
